Name,City,Rating,Review Count,Price,Tax,Distance From Nearby Routes,Free Cancelation,Couple Friendly,Total Amount
Lemon Tree Premier HITEC City Hyderabad,Hitec City,4.2,7424.0,4729,2058,Not provided,True,False,6787
Viola Suites,Madhapur,4.2,141.0,1971,565,Not provided,True,False,2536
Radisson Hyderabad Hitec City,Gachibowli,3.7,9783.0,20900,3762,Not provided,True,False,24662
"Red Fox by Lemon Tree Hotels, Hyderabad",Hitec City,4.0,5777.0,4222,1838,Not provided,False,False,6060
"Vivanta Hyderabad, Begumpet",Begumpet,4.4,3479.0,9500,1710,Not provided,True,False,11210
The Park Hyderabad,Somajiguda,3.8,12474.0,11425,3486,6 minutes walk to Hussain Sagar Lake,True,False,14911
Eastin Hotels,Madhapur,3.6,119.0,3110,1033,Not provided,False,False,4143
Hotel Kyzen Hitech City,Madhapur,4.5,371.0,3662,987,Not provided,False,False,4649
Cloud 5 Studios,Hitec City,4.5,141.0,3060,748,Not provided,True,False,3808
"Taj Krishna, Hyderabad",Banjara Hills,4.5,2252.0,15500,2790,Not provided,True,False,18290
Veeraj Suites,Rai Durg,3.9,759.0,2334,657,Not provided,True,False,2991
La Hometel Hotel - HITECH City Hyderabad,Hitec City,3.9,1026.0,1711,475,Not provided,True,False,2186
Ellaa Hotel Gachibowli,Gachibowli,3.7,5124.0,8213,3256,Not provided,True,False,11469
Hotel Fortune Airport Zone,Shamshabad,3.9,578.0,1814,526,8.5 km drive to Rajiv Gandhi International Airport,True,False,2340
Sunrise A Boutique Hotel,Kondapur,3.9,19.0,3300,732,Not provided,True,False,4032
Radisson Blu Plaza Hotel,Banjara Hills,4.1,5190.0,13500,3227,Not provided,True,False,16727
Mercure Hyderabad KCP - An AccorHotels brand,Punjagutta,4.2,905.0,15000,2700,2.3 km drive to Hussain Sagar Lake,True,False,17700
Oak Business Hotel,Kondapur,4.7,302.0,1906,428,Not provided,True,False,2334
SWANOTEL GACHIBOWLI,Rai Durg,3.9,145.0,3095,803,Not provided,True,False,3898
"Taj Deccan, Hyderabad (Recently Renovated)",Banjara Hills,4.4,3291.0,22490,4048,2.7 km drive to Hussain Sagar Lake,True,False,26538
"Lemon Tree Hotel, Banjara Hills, Hyderabad",Banjara Hills,4.1,4011.0,4155,1808,Not provided,True,False,5963
"Hotel Akoya, Shamshabad Airport",Shamshabad,4.3,19.0,3943,875,8.5 km drive to Rajiv Gandhi International Airport,True,False,4818
Lemon Tree Hotel Gachibowli,Gachibowli,4.1,7252.0,9976,5330,"2 minutes walk to US Consulate, Hyderabad",True,False,15306
Hyderabad Marriott Hotel and Convention Centre,Lower Tank Bund,4.4,1764.0,15199,2736,7 minutes walk to Hussain Sagar Lake,True,False,17935
SMART STAY VEGA KONDAPUR,Kondapur,4.1,389.0,1857,544,Not provided,True,False,2401
Holiday Inn Express Hyderabad Banjara Hills,Banjara Hills,3.3,3183.0,5599,672,2.4 km drive to Hussain Sagar Lake,True,False,6271
Fairfield by Marriott Hyderabad Gachibowli,Gachibowli,4.0,6022.0,16951,4569,"2.2 km drive to US Consulate, Hyderabad",True,False,21520
Hotel Akoya - HITECH City Hyderabad,Hitec City,4.1,1231.0,2377,689,Not provided,True,False,3066
Hotel Abi Residency,Hitec City,3.3,69.0,2179,613,Not provided,True,False,2792
Hotel V Hitech City,Hitec City,4.0,889.0,1843,483,Not provided,True,False,2326
The Golkonda Hotel Banjara Hills,Masab Tank,4.1,4629.0,8749,1575,2.9 km drive to Hussain Sagar Lake,True,False,10324
The Livin Jubilee,Jubilee Hills,4.3,87.0,4361,951,3 minutes walk to State Gallery of Art,True,False,5312
ibis Hyderabad HITEC City - An Accor Brand,Hitec City,3.8,1381.0,10500,1890,Not provided,True,False,12390
M SQUARE HOTEL,Hitec City,3.8,632.0,2124,490,Not provided,True,False,2614
MARIGOLD AT NEST,Gachibowli,3.8,725.0,1525,449,Not provided,True,False,1974
The Central Court,Lakdikapul,3.6,4871.0,2458,663,1.8 km drive to Hussain Sagar Lake,True,False,3121
Hotel Saptagiri Hyderabad,Shivaji Nagar,3.8,3279.0,2551,668,2.7 km drive to Hussain Sagar Lake,True,False,3219
Greenpark,Ameerpet,4.2,2233.0,7143,2397,Not provided,True,False,9540
Holiday Inn Express Hyderabad HITEC City,Hitec City,3.3,2432.0,12499,2250,Not provided,True,False,14749
Hotel Landridge Hitech City,Jubilee Hills,4.1,295.0,2796,743,Not provided,True,False,3539
Avasa Hotel,Hitec City,4.2,2259.0,14382,3919,Not provided,False,False,18301
Treebo Premium D Consulate,Gachibowli,4.0,332.0,3128,721,"4 minutes walk to US Consulate, Hyderabad",True,False,3849
